Актер/актриса;Средний балл фильмов;Количество фильмов
Chris Pratt;7.95;2
Bradley Cooper;7.90;3
Zoe Saldana;7.90;3
Ryan Gosling;7.97;3
Emma Stone;8.03;3
J.K. Simmons;8.40;2
Octavia Spencer;7.95;2
Felicity Jones;7.80;2
Rachel House;7.80;2
Andrew Garfield;7.95;2
Sam Worthington;8.00;2
Dev Patel;8.05;2
Rooney Mara;7.90;4
Amy Adams;7.93;3
Jeremy Renner;7.83;4
Casey Affleck;7.80;2
T.J. Miller;7.90;2
Chris Evans;7.93;3
Robert Downey Jr.;7.84;5
Scarlett Johansson;8.06;5
Matthew McConaughey;8.17;4
Anne Hathaway;8.23;3
Jessica Chastain;8.30;2
Benedict Cumberbatch;7.83;3
Chiwetel Ejiofor;7.85;4
Rachel McAdams;7.76;5
Oscar Isaac;7.90;2
Domhnall Gleeson;7.90;4
Christian Bale;8.32;5
Michael Caine;8.28;4
Hugh Jackman;8.05;4
Colin Firth;7.85;2
Samuel L. Jackson;7.77;3
Tom Hardy;8.20;4
Charlize Theron;8.00;2
Brad Pitt;7.87;6
Diane Kruger;8.10;2
Leonardo DiCaprio;8.29;7
Joseph Gordon-Levitt;8.07;3
Viggo Mortensen;7.80;2
Jonah Hill;7.80;3
Ben Affleck;7.80;3
Kurt Russell;7.70;2
Jake Gyllenhaal;7.85;4
Viola Davis;8.10;2
Melissa Leo;7.95;2
Bryce Dallas Howard;7.90;2
Aoi Yuki;8.50;2
Matt Damon;8.05;4
Mark Wahlberg;8.15;2
Kate Mara;7.80;2
Chris Pine;7.83;3
Jeff Bridges;7.73;3
Michael Fassbender;7.95;2
Gerard Butler;7.90;3
Daniel Radcliffe;7.90;2
Emma Watson;7.93;3
Rupert Grint;7.90;2
Aamir Khan;8.48;4
Gary Oldman;8.05;2
Javier Bardem;7.95;2
Josh Brolin;7.78;4
Woody Harrelson;7.83;3
Mark Ruffalo;7.97;3
Ben Kingsley;7.95;2
Zachary Quinto;7.90;2
Simon Pegg;7.95;2
Steve Carell;7.77;3
Christopher Mintz-Plasse;7.85;2
Bill Hader;7.90;2
Emily Blunt;7.75;2
Martin Freeman;7.90;3
Bill Nighy;7.80;3
Ian McKellen;7.88;4
James McAvoy;7.87;3
Daniel Craig;7.87;3
Judi Dench;7.90;2
Bill Paxton;7.90;2
Ralph Fiennes;8.00;2
Andy Serkis;7.70;3
Bryan Cranston;7.75;2
Michael Keaton;7.95;2
Catherine Keener;7.95;2
Keira Knightley;7.95;2
Brendan Gleeson;7.90;2
Jennifer Lawrence;7.73;3
Chloë Grace Moretz;7.70;2
Christopher Plummer;7.85;4
Logan Lerman;7.80;2
Michael Peña;7.65;2
Russell Crowe;7.70;2
Clive Owen;7.75;2
Zach Galifianakis;7.80;2
James Franco;7.60;2
Freida Pinto;7.80;2
Edward Norton;7.70;2
Richard Armitage;7.90;2
Ciarán Hinds;8.00;2
Sandra Bullock;7.75;2
Jesse Eisenberg;7.70;2
Jared Leto;7.95;2
Abigail Breslin;7.75;2
Tom Hanks;7.90;3
Amy Ryan;7.70;2
Cate Blanchett;7.85;2
Joan Allen;8.10;2
Naomi Watts;7.65;2
Denzel Washington;7.70;2
Bill Murray;7.80;2
George Clooney;7.80;2
Ed Harris;7.75;2
Philip Seymour Hoffman;7.60;2
Will Smith;7.85;2
Ethan Hawke;7.85;2
Morgan Freeman;7.75;2
Geoffrey Rush;7.90;2
Jay Baruchel;8.00;2
Craig Ferguson;8.00;2
Angelina Jolie;7.70;2
Anna Kendrick;7.70;2